name,isin,bse,nse,series,url
Abhinav Capital,INE516F01016,532057,,,https://www.moneycontrol.com/india/stockpricequote/abhinavcapital/abhinavcapitalservices/ACS04
Abhinav Leasing,INE211D01027,538952,,,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03
Abhishek Corp,INE004I01017,532831,ABHISHEK,,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22
Abhishek Finle,INE723C01015,538935,,,https://www.moneycontrol.com/india/stockpricequote/abhishekfinle/abhishekfinlease/AF32
Abhishek Infra,INE281P01016,539544,,,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73
Abhishek Integr,INE0CAJ01017,0,AILIMITED,ST,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhishekintegrations/AI83
Abirami Finance,INE195I01013,511756,,,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS
Accel,INE258C01038,517494,,,https://www.moneycontrol.com/india/stockpricequote/computershardware/accel/AT17
Acceleratebs,INE0POP01017,543938,,,https://www.moneycontrol.com/india/stockpricequote/software/acceleratebsindia/AI86
Accelya,INE793A01012,532268,ACCELYA,EQ,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyasolutionsindia/KAL
Accent Micro,INE0Q5D01013,ACCENT,ACCENTMIC,SM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/accentmicrocell/AML06
Accentia Techno,INE122B01012,531897,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accentiatechnologies/AT19
Acclaim Ind,INE051E01017,526347,,,https://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12
Accord Synergy,INE113X01015,0,ACCORD,SM,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/accordsynergy/AS22
Accuracy Shippi,INE648Z01023,0,ACCURACY,BE,https://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26
Accurate Transf,INE243C01014,530513,,,https://www.moneycontrol.com/india/stockpricequote/electricequipment/accuratetransformers/ATL03
